tid,cpu,stack_time_ns,aligned_sched_s,active_trace_nodes,leaf,dso,callchain
1645396,7,968518622770770,968509.3187845115,evaluator;perception;proc;semantic_map_prepare,[unknown],/opt/apollo/neo/lib/modules/common_msgs/basic_msgs/lib_geometry_proto_mcb_bin.so,[unknown] (/opt/apollo/neo/lib/modules/common_msgs/basic_msgs/lib_geometry_proto_mcb_bin.so)
1645398,9,968518626097279,968509.322110974,semantic_base_async_draw;semantic_draw_roads,__GI_memcpy,inlined,__GI_memcpy+0x10c (inlined); [unknown] (/opt/apollo/neo/packages/3rd-opencv/9.0.0-beta-r1/lib/libopencv_imgproc.so.4.4.0)
1646949,3,968518626185793,968509.3221994868,model_cruise_mlp,[unknown],/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so,[unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so)
1646949,0,968518638222087,968509.3342356124,cruise_mlp_inference;model_cruise_mlp,__GI___pthread_rwlock_rdlock,inlined,__GI___pthread_rwlock_rdlock+0x0 (inlined); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); cublasLtSSSMatmulAlgoGetHeuristic+0x437 (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublas.so.11.6.6.84)
1646953,3,968518671615444,968509.3676285025,cruise_mlp_inference;model_cruise_mlp,[unknown],/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cuda.so,[unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cuda.so)
1646959,3,968518678025164,968509.3740381328,cruise_mlp_inference;model_cruise_mlp,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,[unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); cublasLtSSSMatmulAlgoGetHeuristic+0x437 (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84)
1646959,0,968518730170748,968509.4261829876,,memcpy,[kernel.kallsyms],memcpy+0xc0 ([kernel.kallsyms]); osi_process_rx_completions+0x2ac ([kernel.kallsyms]); ether_napi_poll_rx+0x5c ([kernel.kallsyms]); net_rx_action+0x124 ([kernel.kallsyms]); __do_softirq+0x140 ([kernel.kallsyms]); irq_exit+0xc0 ([kernel.kallsyms]); __handle_domain_irq+0x74 ([kernel.kallsyms]); gic_handle_irq+0x68 ([kernel.kallsyms]); el0_irq_naked+0x4c ([kernel.kallsyms]); [unknown] (/opt/apollo/neo/lib/modules/prediction/libapollo_prediction.so)
1646953,0,968518737912679,968509.4339248104,cruise_mlp_inference;model_cruise_mlp,_raw_spin_unlock_irq,[kernel.kallsyms],_raw_spin_unlock_irq+0x2c ([kernel.kallsyms]); finish_task_switch+0x88 ([kernel.kallsyms]); __schedule+0x3d4 ([kernel.kallsyms]); schedule+0x78 ([kernel.kallsyms]); __rt_mutex_slowlock+0x5c ([kernel.kallsyms]); rt_mutex_wait_proxy_lock+0x50 ([kernel.kallsyms]); futex_lock_pi+0x1f4 ([kernel.kallsyms]); do_futex+0x118 ([kernel.kallsyms]); __arm64_sys_futex+0x124 ([kernel.kallsyms]); el0_svc_common.constprop.0+0x80 ([kernel.kallsyms]); do_el0_svc+0x38 ([kernel.kallsyms]); el0_svc+0x1c ([kernel.kallsyms]); el0_sync_handler+0xa8 ([kernel.kallsyms]); el0_sync+0x16c ([kernel.kallsyms]); futex_lock_pi+0x18c (inlined); __pthread_mutex_lock_full+0x18c (/usr/lib/aarch64-linux-gnu/libpthread-2.31.so); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84); cublasLtSSSMatmulAlgoGetHeuristic+0x437 (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcublasLt.so.11.6.6.84)
1646942,3,968518747217575,968509.4432295762,cruise_mlp_inference;model_cruise_mlp,_raw_spin_unlock_irqrestore,[kernel.kallsyms],"_raw_spin_unlock_irqrestore+0x38 ([kernel.kallsyms]); try_to_wake_up+0x26c ([kernel.kallsyms]); wake_up_q+0x70 ([kernel.kallsyms]); rt_mutex_postunlock+0x24 ([kernel.kallsyms]); do_futex+0x644 ([kernel.kallsyms]); __arm64_sys_futex+0x124 ([kernel.kallsyms]); el0_svc_common.constprop.0+0x80 ([kernel.kallsyms]); do_el0_svc+0x38 ([kernel.kallsyms]); el0_svc+0x1c ([kernel.kallsyms]); el0_sync_handler+0xa8 ([kernel.kallsyms]); el0_sync+0x16c ([kernel.kallsyms]); futex_unlock_pi+0x498 (inlined); __pthread_mutex_unlock_full+0x498 (/usr/lib/aarch64-linux-gnu/libpthread-2.31.so); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0); [unknown] (/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0); [unknown] (/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0); cudnn::cnn::ConvForward4dImplicitGemmEngine<cudnn::cnn::convolve_launch_4d_pf<float, float, float, float, kernel_conv_params>, 5, 2, 2, 2, 2>::execute_internal_impl+0x283 (/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0); cudnn::cnn::EngineInterface::execute+0x11b (/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0); cudnn::cnn::EngineInterface::execute+0x11b (/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0); cudnn::cnn::AutoTransformationExecutor::execute_pipeline+0xe7 (/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0); cudnn::cnn::BatchPartitionExecutor::operator()+0xd3 (/usr/lib/aarch64-linux-gnu/libcudnn_cnn_infer.so.8.6.0)"
1646949,3,968518762767806,968509.4587795897,model_cruise_mlp,[unknown],/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1,[unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/lib/aarch64-linux-gnu/tegra/libcuda.so.1.1); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298); [unknown] (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298); cudaMemcpyAsync+0x1f3 (/usr/local/cuda-11.4/targets/aarch64-linux/lib/libcudart.so.11.4.298); [unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cuda.so)
1646959,3,968518814250469,968509.5102615329,cruise_mlp_inference;model_cruise_mlp,[unknown],/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so,[unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so)
1646942,3,968518847940022,968509.5439506148,model_cruise_mlp,__aarch64_cas4_acq,/usr/lib/aarch64-linux-gnu/libpthread-2.31.so,__aarch64_cas4_acq+0x14 (/usr/lib/aarch64-linux-gnu/libpthread-2.31.so); __GI___pthread_mutex_lock+0x43 (inlined); [unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so)
1646942,1,968518856005221,968509.552015701,cruise_mlp_inference;model_cruise_mlp,[unknown],/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so,[unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cpu.so)
1646949,0,968518867826600,968509.5638369146,cruise_mlp_inference;model_cruise_mlp,[unknown],/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cuda.so,[unknown] (/opt/apollo/neo/packages/3rd-libtorch-gpu/9.0.0-alpha3-r1/lib/libtorch_cuda.so)
