"frame_index","trace_id","input_perception_seq","prediction_output_seq","lidar_trace_id","lidar_frame_index","lidar_data_ts_ns","callback_tid","log_tid","lidar_enter_ns","perception_output_ns","prediction_enter_ns","prediction_exit_ns","complete","execution_ms","upstream_perception_ms","dispatch_proxy_ms","lidar_to_prediction_complete_ms","perception_to_prediction_complete_ms","container_calls","container_sum_ms","container_max_ms","cyber_taskmanager_notify_task_calls","cyber_taskmanager_notify_task_sum_ms","cyber_taskmanager_notify_task_max_ms","cyber_taskmanager_notify_tasks_calls","cyber_taskmanager_notify_tasks_sum_ms","cyber_taskmanager_notify_tasks_max_ms","cyber_taskmanager_queue_enqueue_calls","cyber_taskmanager_queue_enqueue_sum_ms","cyber_taskmanager_queue_enqueue_max_ms","evaluator_calls","evaluator_sum_ms","evaluator_max_ms","perception_calls","perception_sum_ms","perception_max_ms","predictor_calls","predictor_sum_ms","predictor_max_ms","proc_calls","proc_sum_ms","proc_max_ms","semantic_adc_draw_calls","semantic_adc_draw_sum_ms","semantic_adc_draw_max_ms","semantic_base_async_draw_calls","semantic_base_async_draw_sum_ms","semantic_base_async_draw_max_ms","semantic_base_async_future_replace_calls","semantic_base_async_future_replace_sum_ms","semantic_base_async_future_replace_max_ms","semantic_base_async_lock_wait_calls","semantic_base_async_lock_wait_sum_ms","semantic_base_async_lock_wait_max_ms","semantic_base_async_schedule_calls","semantic_base_async_schedule_sum_ms","semantic_base_async_schedule_max_ms","semantic_base_async_submit_calls","semantic_base_async_submit_sum_ms","semantic_base_async_submit_max_ms","semantic_base_copy_calls","semantic_base_copy_sum_ms","semantic_base_copy_max_ms","semantic_base_image_calls","semantic_base_image_sum_ms","semantic_base_image_max_ms","semantic_draw_crosswalks_calls","semantic_draw_crosswalks_sum_ms","semantic_draw_crosswalks_max_ms","semantic_draw_junctions_calls","semantic_draw_junctions_sum_ms","semantic_draw_junctions_max_ms","semantic_draw_lanes_calls","semantic_draw_lanes_sum_ms","semantic_draw_lanes_max_ms","semantic_draw_roads_calls","semantic_draw_roads_sum_ms","semantic_draw_roads_max_ms","semantic_history_cache_copy_calls","semantic_history_cache_copy_sum_ms","semantic_history_cache_copy_max_ms","semantic_map_prepare_calls","semantic_map_prepare_sum_ms","semantic_map_prepare_max_ms","semantic_map_run_calls","semantic_map_run_sum_ms","semantic_map_run_max_ms","semantic_obstacle_history_draw_calls","semantic_obstacle_history_draw_sum_ms","semantic_obstacle_history_draw_max_ms","thread_pool_run_calls","thread_pool_run_sum_ms","thread_pool_run_max_ms","writer_calls","writer_sum_ms","writer_max_ms","all_traced_span_ms","execution_ms_p99_tail","dispatch_proxy_ms_p99_tail","upstream_perception_ms_p99_tail","lidar_to_prediction_complete_ms_p99_tail","perception_to_prediction_complete_ms_p99_tail","all_traced_span_ms_p99_tail","previous20_execution_median_ms","local_execution_jump","anomaly_categories","cruise_mlp_inference_calls","cruise_mlp_inference_sum_ms","cruise_mlp_inference_max_ms","model_cruise_mlp_calls","model_cruise_mlp_sum_ms","model_cruise_mlp_max_ms","jointly_prediction_planning_inference_calls","jointly_prediction_planning_inference_sum_ms","jointly_prediction_planning_inference_max_ms","model_jointly_prediction_planning_calls","model_jointly_prediction_planning_sum_ms","model_jointly_prediction_planning_max_ms"
"814","17293852238736786806","1449","1168","72087263672010153","841","1788865089884971572","1645387","1645387","968498179416160","968498335304608","968498352331104","968498477298400","True","124.967296","155.888448","17.026496","297.88224","141.993792","1","0.577024","0.577024","16","0.324544","0.037536","1","0.343232","0.343232","1","0.0096","0.0096","1","115.477632","115.477632","1","123.73424","123.73424","1","1.265376","1.265376","1","124.967296","124.967296","1","0.001536","0.001536","1","9.320352","9.320352","1","0.001888","0.001888","1","0.00144","0.00144","1","0.365792","0.365792","1","0.361248","0.361248","1","1.36432","1.36432","1","1.73632","1.73632","1","0.003872","0.003872","1","0.041824","0.041824","1","7.30176","7.30176","1","1.491104","1.491104","1","0.278912","0.278912","1","0.853056","0.853056","1","2.478464","2.478464","1","0.450912","0.450912","1","112.12144","112.12144","1","0.464","0.464","124.967296","False","False","False","False","False","False","57.156127999999995","True","","17","336.09788799999995","35.25968","7","377.297696","89.026144","1","47.183008","47.183008","1","111.932032","111.932032"
"815","17293852238736786807","1450","1169","72087263672010154","842","1788865090023709514","1645387","1645387","968498312329984","968498467983424","968498477355808","968498618315072","True","140.959264","155.65344","9.372384","305.985088","150.331648","1","0.464064","0.464064","16","4.304288","3.953184","1","4.329152","4.329152","1","0.008672","0.008672","1","133.18512","133.18512","1","139.97232","139.97232","1","1.249024","1.249024","1","140.959264","140.959264","1","0.001856","0.001856","1","12.96752","12.96752","1","0.001824","0.001824","1","0.001632","0.001632","1","4.351424","4.351424","1","4.347072","4.347072","1","1.421184","1.421184","1","5.77776","5.77776","1","0.002976","0.002976","1","0.051776","0.051776","1","10.818048","10.818048","1","1.3944","1.3944","1","0.298784","0.298784","1","0.674528","0.674528","1","6.72208","6.72208","1","0.630976","0.630976","1","125.7712","125.7712","1","0.401248","0.401248","140.959264","False","False","False","False","False","False","63.57660799999999","True","","17","359.1097920000001","46.625856","7","404.443968","90.753344","1","66.22816","66.22816","1","125.599296","125.599296"
"816","17293852238736786808","1451","1170","72087263672010155","843","1788865090165996642","1645387","1645387","968498454950368","968498614910368","968498618372480","968498757741696","True","139.369216","159.96","3.462112","302.791328","142.831328","1","0.513728","0.513728","16","1.039904","0.754336","1","1.058752","1.058752","1","0.009632","0.009632","1","130.860864","130.860864","1","137.853824","137.853824","1","1.5712","1.5712","1","139.369216","139.369216","1","0.001504","0.001504","1","10.786592","10.786592","1","0.001728","0.001728","1","0.0016","0.0016","1","1.08672","1.08672","1","1.08224","1.08224","1","1.704096","1.704096","1","2.79712","2.79712","1","0.004192","0.004192","1","0.047872","0.047872","1","7.76112","7.76112","1","2.43584","2.43584","1","0.57056","0.57056","1","0.6256","0.6256","1","4.020672","4.020672","1","0.640224","0.640224","1","126.198464","126.198464","1","0.806144","0.806144","139.369216","False","False","False","False","False","False","92.66430399999999","False","","17","365.709248","42.4048","7","419.248384","97.533056","1","75.102176","75.102176","1","126.02416","126.02416"
"817","17293852238736786809","1452","1171","72087263672010156","844","1788865090308656440","1645387","1645387","968498596416864","968498748083680","968498757808608","968498901020736","True","143.212128","151.666816","9.724928","304.603872","152.937056","1","0.626688","0.626688","16","0.245184","0.046848","1","0.263744","0.263744","1","0.007648","0.007648","1","132.831136","132.831136","1","142.066368","142.066368","1","1.151488","1.151488","1","143.212128","143.212128","1","0.001888","0.001888","1","10.806048","10.806048","1","0.001632","0.001632","1","0.0016","0.0016","1","0.285248","0.285248","1","0.280224","0.280224","1","1.30464","1.30464","1","1.59488","1.59488","1","0.003936","0.003936","1","0.047712","0.047712","1","8.730496","8.730496","1","1.526496","1.526496","1","0.220128","0.220128","1","0.803392","0.803392","1","2.30416","2.30416","1","0.477504","0.477504","1","129.708352","129.708352","1","0.396608","0.396608","143.212128","False","False","False","False","False","False","119.136496","False","","17","367.1469440000001","37.649824","7","429.700544","94.934112","1","74.547456","74.547456","1","129.529728","129.529728"
"818","17293852238736786810","1453","1172","72087263672010157","845","1788865090447144827","1645387","1645387","968498742977344","968498895814464","968498901091712","968499042398016","True","141.306304","152.83712","5.277248","299.420672","146.583552","1","0.480544","0.480544","16","1.5064640000000002","1.279136","1","1.52352","1.52352","1","0.00752","0.00752","1","133.044352","133.044352","1","140.140736","140.140736","1","1.407488","1.407488","1","141.306304","141.306304","1","0.001088","0.001088","1","10.239872","10.239872","1","0.001376","0.001376","1","0.012672","0.012672","1","1.54272","1.54272","1","1.539072","1.539072","1","1.325888","1.325888","1","2.873728","2.873728","1","0.00368","0.00368","1","0.044864","0.044864","1","8.271936","8.271936","1","1.435776","1.435776","1","0.212224","0.212224","1","0.694208","0.694208","1","3.650368","3.650368","1","0.55536","0.55536","1","128.685568","128.685568","1","0.543104","0.543104","141.306304","False","False","False","False","False","False","123.268144","False","","17","355.21216000000004","39.752064","7","420.135264","97.796416","1","60.20528","60.20528","1","127.835456","127.835456"
"819","17293852238736786811","1454","1173","72087263672010158","846","1788865090585255445","1645387","1645387","968498879699808","968499033507648","968499042463936","968499190761344","True","148.297408","153.80784","8.956288","311.061536","157.253696","1","0.767232","0.767232","16","2.321056000000001","2.1232","1","2.341824","2.341824","1","0.007584","0.007584","1","137.879456","137.879456","1","146.918912","146.918912","1","1.005376","1.005376","1","148.297408","148.297408","1","0.00128","0.00128","1","10.040512","10.040512","1","0.001056","0.001056","1","0.001344","0.001344","1","2.36128","2.36128","1","2.357184","2.357184","1","1.296864","1.296864","1","3.662944","3.662944","1","0.003168","0.003168","1","0.0464","0.0464","1","7.929408","7.929408","1","1.379296","1.379296","1","0.206208","0.206208","1","0.765408","0.765408","1","4.44688","4.44688","1","0.566336","0.566336","1","132.652832","132.652832","1","0.466048","0.466048","148.297408","False","False","False","False","False","False","132.16825599999999","False","","17","434.104256","46.913312","7","467.858688","111.657024","1","77.961376","77.961376","1","132.43472","132.43472"
"820","17293852238736786812","1455","1174","72087263672010159","847","1788865090732921327","1645387","1645387","968499031700288","968499171768992","968499190828096","968499307864256","True","117.03616","140.068704","19.059104","276.163968","136.095264","1","0.617504","0.617504","16","0.546624","0.3352","1","0.562816","0.562816","1","0.00704","0.00704","1","109.514752","109.514752","1","115.884288","115.884288","1","1.243072","1.243072","1","117.03616","117.03616","1","0.001504","0.001504","1","9.565344","9.565344","1","0.001088","0.001088","1","0.001056","0.001056","1","0.580768","0.580768","1","0.577344","0.577344","1","1.299776","1.299776","1","1.885856","1.885856","1","0.003584","0.003584","1","0.04096","0.04096","1","7.786688","7.786688","1","1.250304","1.250304","1","0.19232","0.19232","1","0.75456","0.75456","1","2.47296","2.47296","1","0.385152","0.385152","1","106.272704","106.272704","1","0.415136","0.415136","117.03616","False","False","False","False","False","False","139.487856","False","","17","341.96092799999997","39.9904","7","387.320448","90.818688","","","","","",""
"821","17293852238736786813","1456","1175","72087263672010160","848","1788865090873040574","1645387","1645387","968499161513088","968499306348192","968499307932960","968499433138944","True","125.205984","144.835104","1.584768","271.625856","126.790752","1","0.476896","0.476896","16","0.3564800000000001","0.065792","1","0.373952","0.373952","1","0.009344","0.009344","1","115.645408","115.645408","1","124.128704","124.128704","1","3.88064","3.88064","1","125.205984","125.205984","1","0.001728","0.001728","1","9.6752","9.6752","1","0.001248","0.001248","1","0.001184","0.001184","1","0.395776","0.395776","1","0.392032","0.392032","1","1.271552","1.271552","1","1.671968","1.671968","1","0.003968","0.003968","1","0.037856","0.037856","1","7.809824","7.809824","1","1.217408","1.217408","1","0.220032","0.220032","1","0.603936","0.603936","1","2.72592","2.72592","1","0.824064","0.824064","1","112.297696","112.297696","1","0.4752","0.4752","125.205984","False","False","False","False","False","False","139.487856","False","","17","312.73174400000005","47.232864","7","339.740736","69.89072","","","","","",""
"822","17293852238736786814","1457","1176","72087263672010161","849","1788865091011321876","1645394","1645394","968499301579744","968499438750624","968499439248960","968499565521984","True","126.273024","137.17088","0.498336","263.94224","126.77136","1","0.579328","0.579328","16","0.5107839999999999","0.13472","1","0.533824","0.533824","1","0.008384","0.008384","1","115.820928","115.820928","1","125.01616","125.01616","1","1.395136","1.395136","1","126.273024","126.273024","1","0.001408","0.001408","1","10.288","10.288","1","0.001344","0.001344","1","0.001056","0.001056","1","0.55472","0.55472","1","0.550944","0.550944","1","1.273216","1.273216","1","1.833376","1.833376","1","0.00288","0.00288","1","0.045568","0.045568","1","8.116544","8.116544","1","1.6408","1.6408","1","0.235584","0.235584","1","0.730656","0.730656","1","2.614624","2.614624","1","0.535648","0.535648","1","112.460416","112.460416","1","0.524832","0.524832","126.273024","False","False","False","False","False","False","139.487856","False","","17","330.019232","37.426688","7","383.19075200000003","64.578528","","","","","",""
"823","17293852238736786815","1458","1177","72087263672010162","850","1788865091148962699","1645390","1645390","968499432657888","968499574041248","968499574530336","968499715222976","True","140.69264","141.38336","0.489088","282.565088","141.181728","1","0.649664","0.649664","16","0.477952","0.051648","1","0.498208","0.498208","1","0.008192","0.008192","1","131.455072","131.455072","1","139.422368","139.422368","1","1.120896","1.120896","1","140.69264","140.69264","1","0.001408","0.001408","1","11.319648","11.319648","1","0.001568","0.001568","1","0.00096","0.00096","1","0.519776","0.519776","1","0.514912","0.514912","1","1.314752","1.314752","1","1.83984","1.83984","1","0.003968","0.003968","1","0.045952","0.045952","1","9.121888","9.121888","1","1.546912","1.546912","1","0.197856","0.197856","1","0.761408","0.761408","1","2.499136","2.499136","1","0.450304","0.450304","1","128.177696","128.177696","1","0.483168","0.483168","140.69264","False","False","False","False","False","False","139.487856","False","","17","368.1032640000001","52.86416","7","418.428736","86.141728","","","","","",""
