record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,measurement_time,x,y,z,heading,qx,qy,qz,qw,vehicle_nearest_lane_id,vehicle_road_id,vehicle_lane_s,vehicle_signed_l,vehicle_distance_m,vehicle_heading_diff
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396793206971,1783598396.793207,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598396.7860847,888,localization,0,0,0,1783598396.7831302,109.6302719116211,-133.00633239746094,0.03353635594248772,-0.002563592418644234,-0.00015943571156731452,-0.00015488990069103455,-0.7080125488898901,0.706199816768465,road_4_lane_0_-1,4,8.21098627852052,0.4122410493603946,0.41224104936039496,0.0021167987371105107
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396886702403,1783598396.8867023,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598396.8863,889,localization,0,0,0,1783598396.8831332,109.82656860351562,-133.00711059570312,0.03353406861424446,-0.0027574463662647375,-0.00016132697249113422,-0.00015636941851078338,-0.7080809949500999,0.7061311876080035,road_4_lane_0_-1,4,8.407283298516274,0.41155055531460727,0.4115505553146135,0.0023106526847310144
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396987059240,1783598396.987059,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598396.9868336,890,localization,0,0,0,1783598396.9839292,110.03292083740234,-133.0079803466797,0.033527620136737823,-0.002957334878836093,-0.000166047005509561,-0.0001606677355573025,-0.7081515640824451,0.7060604144843821,road_4_lane_0_-1,4,8.613635900405733,0.41077300129606015,0.41077300129606886,0.00251054119730237
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598397086280861,1783598397.086281,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598397.086002,891,localization,0,0,0,1783598397.0830302,110.25007629394531,-133.00889587402344,0.03351575881242752,-0.003161521474757123,-0.0001743794601857365,-0.00016894058575595366,-0.7082236424292857,0.7059881113411739,road_4_lane_0_-1,4,8.830791744325735,0.40995449772635695,0.40995449772636644,0.0027147277932234
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598397186464607,1783598397.1864645,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598397.186181,892,localization,0,0,0,1783598397.183239,110.47905731201172,-133.0099334716797,0.03349862992763519,-0.0033724160049484198,-0.00018699731447753738,-0.00018110382297567093,-0.7082980797928036,0.7059134241500419,road_4_lane_0_-1,4,9.05977320312907,0.409019207442333,0.40901920744233067,0.002925622323386275
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598397286461598,1783598397.2864616,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598397.286237,893,localization,0,0,0,1783598397.2832465,110.7208251953125,-133.0110626220703,0.033478718250989914,-0.0035893882884288075,-0.0002013494524104547,-0.00019498872077918828,-0.7083746535194765,0.7058365757659194,road_4_lane_0_-1,4,9.301541566795686,0.40799807752348055,0.40799807752347556,0.0031425946068666627
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598397386638624,1783598397.3866386,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598397.3862987,894,localization,0,0,0,1783598397.3831363,110.97642517089844,-133.01231384277344,0.033457089215517044,-0.003818922094640076,-0.00021722194799198022,-0.00020962758227730956,-0.708455650849469,0.7057552689497665,road_4_lane_0_-1,4,9.55714207590709,0.40686105739554246,0.4068610573955329,0.003372128413077931
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598397486583071,1783598397.486583,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598397.4862733,895,localization,0,0,0,1783598397.483131,111.24642944335938,-133.013671875,0.03343866392970085,-0.004052702740859893,-0.0002303806621800093,-0.00022268328064507163,-0.7085381378219224,0.7056724485118782,road_4_lane_0_-1,4,9.827146928178479,0.405623661503445,0.40562366150344176,0.0036059090592977477
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598397586847106,1783598397.5868473,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598397.586191,896,localization,0,0,0,1783598397.5832176,111.53105926513672,-133.0151824951172,0.033426303416490555,-0.004291785763943956,-0.00023954946090778203,-0.00023138294587176237,-0.7086224868787597,0.7055877409420814,road_4_lane_0_-1,4,10.11177739648178,0.404240212338756,0.40424021233875157,0.003844992082410233
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598397686145688,1783598397.6861458,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598397.685858,897,localization,0,0,0,1783598397.6828961,111.83045959472656,-133.01683044433594,0.033418331295251846,-0.004536105568970328,-0.0002453415899038916,-0.00023671568315653565,-0.7087086741488805,0.7055011686449043,road_4_lane_0_-1,4,10.411178432481064,0.40272603345555086,0.4027260334555521,0.004089311887436605
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598397786674687,1783598397.7866747,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598397.7863505,898,localization,0,0,0,1783598397.7829494,112.14408874511719,-133.01861572265625,0.0334206186234951,-0.004787843782879442,-0.00024391159223262503,-0.00023485625118867265,-0.7087974698404885,0.7054119591397627,road_4_lane_0_-1,4,10.72480834921869,0.4010808828315083,0.40108088283150933,0.004341050101345719
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598397886373434,1783598397.8863733,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598397.8860781,899,localization,0,0,0,1783598397.8831058,112.47029113769531,-133.0205535888672,0.03343809023499489,-0.00504515380703241,-0.00023181059882593862,-0.00022200335057331633,-0.7088882228290667,0.7053207671071411,road_4_lane_0_-1,4,11.051011575064155,0.39928876197704966,0.399288761977045,0.004598360125498693
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598397986336697,1783598397.9863367,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598397.9860904,900,localization,0,0,0,1783598397.9831069,112.80833435058594,-133.0226287841797,0.03345487639307976,-0.005299949966854456,-0.00021969193224824794,-0.00021026671141892631,-0.7089780774556094,0.7052304539728221,road_4_lane_0_-1,4,11.389055681398034,0.39736460243825944,0.3973646024382475,0.004853156285320739
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598398086200663,1783598398.0862005,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598398.0857825,901,localization,0,0,0,1783598398.0831192,113.15852355957031,-133.02488708496094,0.03346296399831772,-0.005559216426154201,-0.00021447367467301967,-0.0002042706244487981,-0.7090694944056389,0.705138542683554,road_4_lane_0_-1,4,11.739245864423706,0.39526276420312545,0.39526276420311873,0.005112422744620484
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598398186178710,1783598398.186179,/apollo/localization/pose,apollo.localization.LocalizationEstimate,1783598398.1860032,902,localization,0,0,0,1783598398.1831174,113.52076721191406,-133.0272674560547,0.03346727415919304,-0.005820946060750565,-0.0002115179658728462,-0.00020090189211971688,-0.709161767056127,0.705045745355868,road_4_lane_0_-1,4,12.101490544145816,0.39304424151662387,0.3930442415166258,0.005374152379216842
